id_district,id_ward,name_ward
1,1,Hòa Phát
1,2,Hòa Xuân
1,3,Khuê Trung
2,4,Bình Hiên
2,5,Bình Thuận
2,6,Hòa Cường Bắc
2,7,Hòa Cường Nam
2,8,Hòa Thuận Đông
2,9,Hòa Thuận Tây
2,10,Hải Châu 1
2,11,Hải Châu 2
2,12,Nam Dương
2,13,Phước Ninh
2,14,Thánh Bình
2,15,Thạch Thắng
2,16,Thuận Phước
3,17,Hòa Bắc
3,18,Hòa Châu
3,19,Hòa Khương
3,20,Hòa Liên
3,21,Hòa Nhơn
3,22,Hòa Ninh
3,23,Hòa Phước
3,24,Hòa Phú
3,25,Hòa Phong
3,26,Hòa Sơn
3,27,Hòa Tiến
3,28,Hoµ Thä
4,29,Hòa Hiêp Bắc
4,30,Hòa Hiêp Nam
4,31,Hòa Khành Bắc
4,32,Hòa Khành Nam
4,33,Hòa Minh
5,34,Bắc Mỹ An
5,35,Hòa Hải
5,36,Hòa Quy
5,37,Khuê Mỹ
6,38,An Hải Đông
6,39,An Hải Bắc
6,40,An Hải Tây
6,41,Mân Thái
6,42,N¹i Hiên Đông
6,43,Phước Mỹ
6,44,Thä Quang
7,45,An Khê
7,46,Chính Gián
7,47,Tân Chính
7,48,Tam Thuận
7,49,Thánh Léc Đán
7,50,Thạc Gián
7,51,Vĩnh Trung
7,52,Xuân Hà
8,53,Định Quán
8,54,Gia Canh
8,55,La Ngà
8,56,Ngọc Định
8,57,Phú Cường
8,58,Phú Hoà
8,59,Phú Lợi
8,60,Phú Ngọc
8,61,Phú Tân
8,62,Phú Túc
8,63,Phú Vinh
8,64,Suối Nho
8,65,Túc Trưng
8,66,Thánh Sơn
9,67,An Bình
9,68,Bửu Hòa
9,69,Bửu Long
9,70,Bình Đa
9,71,Hố Nai
9,72,Hòa Bình
9,73,Hóa An
9,74,Hiệp Hòa
9,75,Long Bình Tân
9,76,Long Bình
9,77,Quang Vinh
9,78,Quyết Thắng
9,79,Tân Biên
9,80,Tân Hòa
9,81,Tân Hạnh
9,82,Tân Hiệp
9,83,Tân Mai
9,84,Tân Phong
9,85,Tân Tiến
9,86,Tân Vạn
9,87,Tam Hòa
9,88,Tam Hiệp
9,89,Thánh Bình
9,90,Thống Nhất
9,91,Trảng Dài
9,92,Trung Dũng
10,93,Bảo Bình
10,94,Lâm San
10,95,Long Giao
10,96,Nhân NghÜa
10,97,Sông Nh¹n
10,98,Sông Ray
10,99,Thõa Đức
10,100,Xuân Đông
10,101,Xuân Bảo
10,102,Xuân Mü
10,103,Xuân Quế
10,104,Xuân Tây
11,105,Bàu Sen
11,106,Bàu Trâm
11,107,Bình Lộc
11,108,Bảo Quang
11,109,Bảo Vinh
11,110,Hàng Gòn
11,111,Phú Bình
11,112,Suối Tre
11,113,Xuân An
11,114,Xuân Bình
11,115,Xuân Hòa
11,116,Xuân Lập
11,117,Xuân Tân
11,118,Xuân Thánh
11,119,Xuân Trung
12,120,An Hoà
12,121,An Phước
12,122,Bàu Cạn
12,123,Bình An
12,124,Bình Sơn
12,125,Cẩm Đường
12,126,Lộc An
12,127,Long Đức
12,128,Long An
12,129,Long Hưng
12,130,Long Phước
12,131,Long Thành
12,132,Phước Bình
12,133,Phước Tân
12,134,Phước Thái
12,135,Suối Trầu
12,136,Tân Hiệp
12,137,Tam An
12,138,Tam Phước
13,139,Đại Phước
13,140,Hiệp Phước
13,141,Long Tân
13,142,Long Thọ
13,143,Phó Héi
13,144,Phước An
13,145,Phước Khánh
13,146,Phước Thiền
13,147,Phú Đông
13,148,Phú Hội
13,149,Phú Thạnh
13,150,Vinh Thánh
14,151,đắck lua
14,152,Nam Cát Tiên
14,153,Núi Tượng
14,154,Phú Điền
14,155,Phú An
14,156,Phú Bình
14,157,Phú Lâm
14,158,Phú Lộc
14,159,Phú Lập
14,160,Phú Sơn
14,161,Phú Thánh
14,162,Phú Thịnh
14,163,Phú Trung
14,164,Phú Xuân
14,165,Tà Lài
14,166,Tân Phú
14,167,Thánh Sơn
14,168,Trà Cổ
15,169,Bàu Hàm II
15,170,Gia Kiệm
15,171,Gia Tân I
15,172,Gia Tân II
15,173,Gia Tân III
15,174,Hưng Lộc
15,175,Lộ 25
15,176,Quang Trung
15,177,Xuân Thạnh
15,178,Xuân Thiện
16,179,Đông Hòa
16,180,Đồi 61
16,181,An Viễn
16,182,Bàu Hàm I
16,183,Bình Minh
16,184,Bắc Sơn
16,185,Cây Gáo
16,186,Giang Điền
16,187,Hố Nai 3
16,188,Hưng Thịnh
16,189,Quảng Tiến
16,190,Sông Thao
16,191,Sông Trầu
16,192,Tây Hòa
16,193,Thánh Bình
16,194,Trảng Bom
16,195,Trung Hòa
17,196,Bình Hòa
17,197,Bình Lợi
17,198,Huổi Liêm
17,199,Mễ Đµ
17,200,Phú Lý
17,201,Tân An
17,202,Tân Bình
17,203,Thạnh Phú
17,204,Thiện Tân
17,205,Trị An
17,206,Vĩnh An
17,207,Vĩnh Tân
18,208,Bảo Hau
18,209,Gia Ray
18,210,Lang Minh
18,211,Suèi Cát
18,212,Suèi Cao
18,213,Xuân Đình
18,214,Xuân Bắc
18,215,Xuân Hòa
18,216,Xuân H­ng
18,217,Xuân Hiệp
18,218,Xuân Phó
18,219,Xuân Tâm
18,220,Xuân Thành
18,221,Xuân Thä
18,222,Xuân Trường
19,223,An Bình
19,224,Ba Sao
19,225,Bình Hàng Tây
19,226,Bình Hàng Trung
19,227,Bình Thạnh
19,228,Gáo Giồng
19,229,Mỹ Hội
19,230,Mỹ Hiệp
19,231,Mỹ Long
19,232,Mỹ Thọ
19,233,Mỹ Thọ
19,234,Mỹ Xương
19,235,Nhị Mỹ
19,236,Phương Thịnh
19,237,Phương Trµ
19,238,Phong Mỹ
19,239,Tân Hội Trung
19,240,Tân Nghĩa
20,241,11
20,242,1
20,243,2
20,244,3
20,245,4
20,246,6
20,247,Hoà An
20,248,Hoà Thuận
20,249,Mỹ Ngãi
20,250,Mỹ Phú
20,251,Mỹ Tân
20,252,Mỹ Trà
20,253,Tân Thuận Đông
20,254,Tân Thuận Tây
20,255,Tịnh Thới
21,256,An Hiệp
21,257,An Khánh
21,258,An Nhơn
21,259,An Phú Thuận
21,260,Cái Tàu Hạ
21,261,Hòa Tân
21,262,Phú Hựu
21,263,Phú Long
21,264,Tân Bình
21,265,Tân Nhuận Đông
21,266,Tân Phú Trung
21,267,Tân Phú
22,268,An Bình A
22,269,An Bình B
22,270,Bình Thạnh
22,271,Hồng Ngự
22,272,Long Khánh A
22,273,Long Khánh B
22,274,Long Thuận
22,275,Phú Thuận A
22,276,Phú Thuận B
22,277,Tân Hội
22,278,Thường Lạc
22,279,Thường Phước 1
22,280,Thường Phước 2
22,281,Thường Thới Hậu A
22,282,Thường Thới Hậu B
22,283,Thường Thới Tiền
23,284,Định Hòa
23,285,Hòa Long
23,286,Hòa Thành
23,287,Lai Vung
23,288,Long Hậu
